image_name,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Stimage000.jpg,45.9,48.6,233.6,235.2,strawberry
Stimage001.jpg,39.5,33.8,253.2,228.2,strawberry
Stimage002.jpg,36.8,32.3,272.6,237.5,strawberry
Stimage003.jpg,25.6,34.2,268.7,239.6,strawberry
Stimage004.jpg,28.7,24.5,228.3,242.3,strawberry
Stimage005.jpg,46.7,32.9,262,263.6,strawberry
Stimage006.jpg,20.8,10.9,232.2,224.9,strawberry
Stimage007.jpg,21.8,33.5,250.2,231.2,strawberry
Stimage008.jpg,36.7,40.3,264.8,276.5,strawberry
Stimage009.jpg,26,40.9,253.3,230.1,strawberry
Stimage010.jpg,32.1,25.5,238.4,260.1,strawberry
Stimage011.jpg,32,22,246.4,256.2,strawberry
Stimage012.jpg,19.9,42.5,259.2,251.4,strawberry
Stimage013.jpg,43.5,31.5,251.1,251.8,strawberry
Stimage014.jpg,56.1,41,270.1,263.5,strawberry
Stimage015.jpg,52.9,49.6,247.4,263.3,strawberry
Stimage016.jpg,57.7,39.8,286.7,287.4,strawberry
Stimage017.jpg,36,63.3,296.5,277,strawberry
Stimage018.jpg,44.2,48,256.1,272.6,strawberry
Stimage019.jpg,68.9,57.5,282.2,285.5,strawberry
Stimage020.jpg,49.4,59.7,280.5,251,strawberry
Stimage021.jpg,53.1,55.9,273.1,285.3,strawberry
Stimage022.jpg,54.9,40.6,267.3,255.5,strawberry
Stimage023.jpg,51.7,57.5,259.1,262.9,strawberry
Stimage024.jpg,46.8,67.1,275.3,274.6,strawberry
Stimage025.jpg,77.3,41.5,268.4,297.2,strawberry
Stimage026.jpg,38.5,71.6,273.1,247.9,strawberry
Stimage027.jpg,60.7,60.4,266.6,276,strawberry
Stimage028.jpg,56.9,62.3,275.7,256.8,strawberry
Stimage029.jpg,74.2,44.7,250.4,265,strawberry
Stimage030.jpg,57.3,53,271.7,252.5,strawberry
Stimage031.jpg,48.7,68.3,277.9,245,strawberry
Stimage032.jpg,62.3,53.8,268.6,257.8,strawberry
Stimage033.jpg,70.1,51.6,257.7,272.9,strawberry
Stimage034.jpg,55.4,48.1,303.6,274.8,strawberry
Stimage035.jpg,45.2,70.5,272.8,257.5,strawberry
Stimage036.jpg,67.3,46,268.2,273.3,strawberry
Stimage037.jpg,51.6,64.2,250.8,249.6,strawberry
Stimage038.jpg,50.4,51.7,268,261.2,strawberry
Stimage039.jpg,49.4,65.8,293.5,255.7,strawberry
Stimage040.jpg,52.2,47.7,269.4,259.3,strawberry
Stimage041.jpg,66.4,43.4,261.1,255.8,strawberry
Stimage042.jpg,46.6,60.7,273.6,265.7,strawberry
Stimage043.jpg,66.5,46.1,282,300,strawberry
Stimage044.jpg,40.5,61.1,272.8,255.8,strawberry
Stimage045.jpg,48.3,48.2,263.4,262,strawberry
Stimage046.jpg,52.4,47.6,270,247.5,strawberry
Stimage047.jpg,69.5,45,274.3,268.8,strawberry
Stimage048.jpg,29.4,38.7,281.1,266.2,strawberry
Stimage049.jpg,61.4,49.6,267.2,272.5,strawberry
Stimage050.jpg,0,0,0.1,0,strawberry
Stimage051.jpg,18.8,59.8,257.8,261.1,strawberry
Stimage052.jpg,47.1,16.4,252.8,243.8,strawberry
Stimage053.jpg,16.2,16.2,247.5,248.8,strawberry
Stimage054.jpg,29.8,20.3,254.3,241.6,strawberry
Stimage055.jpg,13.8,50.8,267.2,257.8,strawberry
Stimage056.jpg,29,49,259.3,282,strawberry
Stimage057.jpg,26.1,25.2,251.2,242.4,strawberry
Stimage058.jpg,29.1,16.4,252.5,252.5,strawberry
Stimage059.jpg,22.6,17.6,243,238.2,strawberry
Stimage060.jpg,46.6,41.3,273.3,268.8,strawberry
Stimage061.jpg,43.2,18.9,259.6,252,strawberry
Stimage062.jpg,24.2,40.4,253.1,250,strawberry
Stimage063.jpg,15.4,16,215.4,214.5,strawberry
Stimage064.jpg,14,14.8,244.5,238.6,strawberry
Stimage065.jpg,23,27.4,230.4,240.5,strawberry
Stimage066.jpg,16.4,14.3,234.3,230.6,strawberry
Stimage067.jpg,31.3,30.7,259.1,248.6,strawberry
Stimage068.jpg,38.6,50.8,266.5,278.8,strawberry
Stimage069.jpg,14.1,22.5,234.6,227.2,strawberry
Stimage070.jpg,15.1,15.8,246.4,247.5,strawberry
Stimage071.jpg,25.3,21.5,259.8,245.6,strawberry
Stimage072.jpg,20.7,41.4,247.9,244,strawberry
Stimage073.jpg,74,61,308.7,292.5,strawberry
Stimage074.jpg,25.6,59,275.2,257.4,strawberry
Stimage075.jpg,52.3,40.1,287.6,279.7,strawberry
Stimage076.jpg,45.3,24.5,285.8,280.5,strawberry
Stimage077.jpg,39.4,49.9,271.6,285.3,strawberry
Stimage078.jpg,43.2,55,283,267.7,strawberry
Stimage079.jpg,44,55.9,319.5,295.3,strawberry
Stimage080.jpg,34,37.7,269,257.4,strawberry
Stimage081.jpg,29.4,36.7,252,273.2,strawberry
Stimage082.jpg,43.6,28.9,270.9,270,strawberry
Stimage083.jpg,64.1,30.9,289.1,277.2,strawberry
Stimage084.jpg,59.3,55.8,282.2,302.7,strawberry
Stimage085.jpg,26,36.5,262.5,248.8,strawberry
