image_name,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Gimage00.jpg,87.8,76.3,284.2,320.8,plum
Gimage01.jpg,82.5,82,323.3,330.6,plum
Gimage02.jpg,76.6,82.1,331.2,340.7,plum
Gimage03.jpg,74.6,86.1,340.4,335.1,plum
Gimage04.jpg,57.7,86.3,344.7,306,plum
Gimage05.jpg,53.2,113.2,351.5,325.7,plum
Gimage06.jpg,55.8,93.6,326.6,328.6,plum
Gimage07.jpg,97.9,66.5,322.3,339.8,plum
Gimage08.jpg,92.9,64.4,324.8,331.9,plum
Gimage09.jpg,88.4,62.1,332.2,323.2,plum
Gimage10.jpg,38.8,88.4,315.8,330,plum
Gimage11.jpg,63.5,87.6,335.4,297.5,plum
Gimage12.jpg,59.6,79,334.6,290.9,plum
Gimage13.jpg,70.4,61.4,307,299.8,plum
Gimage14.jpg,71.8,76.2,307.6,323.9,plum
Gimage15.jpg,66.5,74.8,286.3,324,plum
Gimage16.jpg,38.7,74.2,326.1,319.7,plum
Gimage17.jpg,62.2,74.2,337,316.3,plum
Gimage18.jpg,64,76.6,322.3,329.3,plum
Gimage19.jpg,31.9,69.6,305.3,313.5,plum
Gimage20.jpg,33.4,92.7,349.6,316.3,plum
Gimage21.jpg,31.5,47,307.2,319.1,plum
Gimage22.jpg,21.3,55.3,293.1,283.6,plum
Gimage23.jpg,31.3,47.1,298.9,291.1,plum
Gimage24.jpg,14.1,37.6,295.2,302.7,plum
Gimage25.jpg,70.6,44.7,292.8,303.2,plum
Gimage26.jpg,57.4,73.8,324.9,310.7,plum
Gimage27.jpg,56.1,77.3,340.6,349.1,plum
Gimage28.jpg,49.3,63.4,341.5,316,plum
Gimage29.jpg,39.8,38.8,312.7,297.2,plum
Gimage30.jpg,56.5,68.1,338.2,315.9,plum
Gimage31.jpg,65.5,71,324,334.5,plum
Gimage32.jpg,41.1,69.8,337.1,313.8,plum
Gimage33.jpg,45.6,79.9,325.1,323.3,plum
Gimage34.jpg,67.1,79.9,348.8,333.3,plum
Gimage35.jpg,83,69.3,340.3,335.9,plum
Gimage36.jpg,60.5,83.2,326.5,317,plum
Gimage37.jpg,55.6,86.6,334.2,305.4,plum
Gimage38.jpg,69.5,80.9,337.8,326,plum
Gimage39.jpg,83.6,67.9,304.9,333.2,plum
Gimage40.jpg,67.7,87.9,339.3,338.8,plum
Gimage41.jpg,79.3,77.6,223.5,315.6,plum
Gimage42.jpg,34.2,46.9,281.7,272.9,plum
Gimage43.jpg,75.8,79.4,328.9,313.3,plum
Gimage44.jpg,60.7,76.1,340.3,321.4,plum
Gimage45.jpg,53,73.1,325.6,320.1,plum
Gimage46.jpg,78.1,79,336.6,336.2,plum
Gimage47.jpg,51.4,74.6,313.5,316.1,plum
Gimage48.jpg,75,61.5,308.7,327.8,plum
Gimage49.jpg,62.1,82.8,362.8,348.1,plum
