image_name,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Egimage000.jpg,58.7,49.4,241.6,257.8,egg
Egimage001.jpg,53.1,43.2,271.3,270.7,egg
Egimage002.jpg,23.0,51.5,285.1,290.8,egg
Egimage003.jpg,29.3,47.1,264.2,255.8,egg
Egimage004.jpg,20.0,33.6,255.3,252.7,egg
Egimage005.jpg,20.6,38.5,259.1,251.7,egg
Egimage006.jpg,17.4,30.1,252.9,242.2,egg
Egimage007.jpg,37.0,38.7,278.4,272.9,egg
Egimage008.jpg,24.3,65.7,292.9,279.4,egg
Egimage009.jpg,23.5,51.9,275.2,258.7,egg
Egimage010.jpg,41.1,42.2,275.2,263.3,egg
Egimage011.jpg,39.9,41.8,264.7,258.9,egg
Egimage012.jpg,19.0,41.6,256.5,254.3,egg
Egimage013.jpg,22.8,32.4,250.8,249.1,egg
Egimage014.jpg,47.9,72.0,283.1,291.6,egg
Egimage015.jpg,51.2,43.0,293.3,303.5,egg
Egimage016.jpg,63.7,40.8,284.4,275.0,egg
Egimage017.jpg,25.6,50.0,277.2,274.4,egg
Egimage018.jpg,43.7,24.5,268.6,280.3,egg
Egimage019.jpg,12.6,89.1,300.3,298.3,egg
Egimage020.jpg,26.1,42.1,263.3,256.7,egg
Egimage021.jpg,17.9,28.3,248.0,239.8,egg
Egimage022.jpg,11.9,73.7,274.3,280.1,egg
Egimage023.jpg,8.6,27.3,238.0,234.2,egg
Egimage024.jpg,6.3,13.1,235.1,234.9,egg
Egimage025.jpg,14.4,24.7,222.5,224.0,egg
Egimage026.jpg,27.7,66.3,286.4,285.5,egg
Egimage027.jpg,13.4,11.6,238.8,242.0,egg
Egimage028.jpg,59.8,76.2,302.1,302.9,egg
Egimage029.jpg,44.9,60.6,284.4,282.5,egg
Egimage030.jpg,50.8,81.3,302.1,310.5,egg
Egimage031.jpg,30.5,51.8,268.3,270.2,egg
Egimage032.jpg,24.9,81.4,290.9,280.5,egg
Egimage033.jpg,61.4,82.5,297.3,315.2,egg
Egimage034.jpg,39.9,73.5,298.8,300.4,egg
Egimage035.jpg,28.9,74.8,291.4,292.8,egg
Egimage036.jpg,21.6,34.3,253.6,252.5,egg
Egimage037.jpg,25.2,42.0,270.3,260.8,egg
Egimage038.jpg,29.8,62.9,269.0,266.5,egg
Egimage039.jpg,57.3,70.1,283.6,301.3,egg
Egimage040.jpg,78.0,83.4,327.7,318.7,egg
Egimage041.jpg,42.7,70.6,270.9,287.4,egg
Egimage042.jpg,33.0,92.7,310.3,297.9,egg
Egimage043.jpg,28.0,59.7,254.7,278.9,egg
Egimage044.jpg,46.7,74.7,307.6,278.9,egg
Egimage045.jpg,32.5,67.8,286.7,314.5,egg
Egimage046.jpg,53.6,87.5,324.6,297.5,egg
Egimage047.jpg,67.6,73.2,327.2,332.4,egg
Egimage048.jpg,32.9,62.6,281.5,279.4,egg
Egimage049.jpg,22.0,32.0,251.3,246.6,egg
